Date,Product,Category,Price,Quantity,Rating,Revenue
2018-01-05,air conditioner,electronics,800,36,8,28800
2018-01-05,mascara,comestic,10,45,9,450
2018-01-05,face cleanser,comestic,25,12,4,300
2018-01-05,eye liner,comestic,12,2,1,24
2018-01-05,oven,electronics,600,18,9,10800
2018-01-05,smartphone,electronics,500,38,7,19000
2018-01-05,mascara,comestic,10,3,3,30
2018-01-05,oven,electronics,600,46,10,27600
2018-01-05,fridge,electronics,1200,43,5,51600
2018-01-06,oven,electronics,600,34,4,20400
2018-01-06,eye liner,comestic,12,14,2,168
2018-01-06,face cleanser,comestic,25,18,7,450
2018-01-06,eye liner,comestic,12,49,10,588
2018-01-06,eye liner,comestic,12,43,10,516
2018-01-06,suncream,comestic,20,36,2,720
2018-01-06,face cleanser,comestic,25,19,3,475
2018-01-06,fragrance,comestic,50,34,1,1700
2018-01-06,suncream,comestic,20,43,9,860
2018-01-06,oven,electronics,600,20,2,12000
2018-01-07,oven,electronics,600,1,9,600
2018-01-07,mascara,comestic,10,21,7,210
2018-01-07,suncream,comestic,20,10,3,200
2018-01-07,lipstick,comestic,15,27,5,405
2018-01-07,microwave,electronics,300,26,10,7800
2018-01-07,oven,electronics,600,16,6,9600
2018-01-07,suncream,comestic,20,49,10,980
2018-01-07,laptop,electronics,1000,23,10,23000
2018-01-07,eye liner,comestic,12,20,8,240
2018-01-07,face cleanser,comestic,25,33,10,825
2018-01-08,smartphone,electronics,500,19,2,9500
2018-01-08,fragrance,comestic,50,28,10,1400
2018-01-08,lipstick,comestic,15,49,10,735
2018-01-08,fridge,electronics,1200,41,2,49200
2018-01-08,face cleanser,comestic,25,21,4,525
2018-01-08,mascara,comestic,10,38,10,380
2018-01-08,lipstick,comestic,15,38,9,570
2018-01-08,fragrance,comestic,50,49,7,2450
2018-01-08,eye liner,comestic,12,19,4,228
2018-01-08,fragrance,comestic,50,9,1,450
2018-01-09,mascara,comestic,10,25,9,250
2018-01-09,mascara,comestic,10,13,4,130
2018-01-09,microwave,electronics,300,17,9,5100
2018-01-09,fragrance,comestic,50,6,7,300
2018-01-09,laptop,electronics,1000,16,5,16000
2018-01-09,laptop,electronics,1000,43,3,43000
2018-01-09,face cleanser,comestic,25,3,6,75
2018-01-09,mascara,comestic,10,28,2,280
2018-01-09,suncream,comestic,20,50,7,1000
2018-01-09,microwave,electronics,300,29,2,8700
2018-01-10,microwave,electronics,300,31,9,9300
2018-01-10,suncream,comestic,20,27,6,540
2018-01-10,mascara,comestic,10,9,2,90
2018-01-10,eye liner,comestic,12,8,6,96
2018-01-10,air conditioner,electronics,800,25,10,20000
2018-01-10,air conditioner,electronics,800,32,2,25600
2018-01-10,eye liner,comestic,12,6,7,72
2018-01-10,fragrance,comestic,50,49,9,2450
2018-01-10,microwave,electronics,300,38,8,11400
2018-01-10,lipstick,comestic,15,45,10,675
2018-01-11,face cleanser,comestic,25,28,4,700
2018-01-11,oven,electronics,600,42,7,25200
2018-01-11,microwave,electronics,300,16,4,4800
2018-01-11,fridge,electronics,1200,46,1,55200
2018-01-11,fridge,electronics,1200,18,8,21600
2018-01-11,oven,electronics,600,12,10,7200
2018-01-11,lipstick,comestic,15,26,5,390
2018-01-11,lipstick,comestic,15,28,5,420
2018-01-11,microwave,electronics,300,18,3,5400
2018-01-11,fridge,electronics,1200,43,9,51600
2018-01-12,suncream,comestic,20,44,8,880
2018-01-12,air conditioner,electronics,800,3,2,2400
2018-01-12,suncream,comestic,20,28,1,560
2018-01-12,fridge,electronics,1200,20,10,24000
2018-01-12,microwave,electronics,300,9,4,2700
2018-01-12,mascara,comestic,10,18,3,180
2018-01-12,face cleanser,comestic,25,6,3,150
2018-01-12,smartphone,electronics,500,21,1,10500
2018-01-12,smartphone,electronics,500,28,9,14000
2018-01-12,air conditioner,electronics,800,38,4,30400
2018-01-13,lipstick,comestic,15,47,4,705
2018-01-13,smartphone,electronics,500,18,4,9000
2018-01-13,face cleanser,comestic,25,21,2,525
2018-01-13,air conditioner,electronics,800,3,8,2400
2018-01-13,laptop,electronics,1000,22,2,22000
2018-01-13,eye liner,comestic,12,28,1,336
2018-01-13,mascara,comestic,10,50,3,500
2018-01-13,microwave,electronics,300,35,6,10500
2018-01-13,suncream,comestic,20,15,7,300
2018-01-13,fridge,electronics,1200,34,5,40800
2018-01-14,laptop,electronics,1000,15,9,15000
2018-01-14,fridge,electronics,1200,31,4,37200
2018-01-14,oven,electronics,600,21,1,12600
2018-01-14,air conditioner,electronics,800,47,1,37600
2018-01-14,eye liner,comestic,12,38,4,456
2018-01-14,lipstick,comestic,15,28,2,420
2018-01-14,face cleanser,comestic,25,16,4,400
2018-01-14,microwave,electronics,300,49,4,14700
2018-01-14,oven,electronics,600,48,10,28800
2018-01-14,face cleanser,comestic,25,11,5,275
2018-01-15,microwave,electronics,300,42,6,12600
2018-01-15,oven,electronics,600,31,4,18600
2018-01-15,oven,electronics,600,8,9,4800
2018-01-15,suncream,comestic,20,6,10,120
2018-01-15,smartphone,electronics,500,1,9,500
2018-01-15,microwave,electronics,300,8,4,2400
2018-01-15,mascara,comestic,10,39,7,390
2018-01-15,smartphone,electronics,500,8,6,4000
2018-01-15,laptop,electronics,1000,32,8,32000
2018-01-15,smartphone,electronics,500,49,1,24500
2018-01-16,lipstick,comestic,15,22,10,330
2018-01-16,oven,electronics,600,43,5,25800
2018-01-16,oven,electronics,600,4,2,2400
2018-01-16,air conditioner,electronics,800,35,7,28000
2018-01-16,lipstick,comestic,15,31,1,465
2018-01-16,fragrance,comestic,50,19,8,950
2018-01-16,lipstick,comestic,15,12,5,180
2018-01-16,oven,electronics,600,37,4,22200
2018-01-16,fragrance,comestic,50,46,2,2300
2018-01-16,air conditioner,electronics,800,16,9,12800
2018-01-17,fridge,electronics,1200,7,7,8400
2018-01-17,lipstick,comestic,15,3,6,45
2018-01-17,air conditioner,electronics,800,11,4,8800
2018-01-17,air conditioner,electronics,800,50,7,40000
2018-01-17,fragrance,comestic,50,7,10,350
2018-01-17,laptop,electronics,1000,35,4,35000
2018-01-17,fridge,electronics,1200,37,6,44400
2018-01-17,lipstick,comestic,15,17,5,255
2018-01-17,face cleanser,comestic,25,19,2,475
2018-01-17,suncream,comestic,20,21,2,420
2018-01-18,eye liner,comestic,12,38,8,456
2018-01-18,microwave,electronics,300,16,8,4800
2018-01-18,fragrance,comestic,50,47,6,2350
2018-01-18,face cleanser,comestic,25,14,6,350
2018-01-18,oven,electronics,600,23,3,13800
2018-01-18,face cleanser,comestic,25,18,3,450
2018-01-18,oven,electronics,600,33,6,19800
2018-01-18,lipstick,comestic,15,4,1,60
2018-01-18,mascara,comestic,10,10,1,100
2018-01-18,mascara,comestic,10,50,4,500
2018-01-19,microwave,electronics,300,6,5,1800
2018-01-19,mascara,comestic,10,2,1,20
2018-01-19,fragrance,comestic,50,50,4,2500
2018-01-19,fragrance,comestic,50,45,6,2250
2018-01-19,fragrance,comestic,50,15,8,750
2018-01-19,eye liner,comestic,12,13,6,156
2018-01-19,fridge,electronics,1200,38,10,45600
2018-01-19,mascara,comestic,10,37,4,370
2018-01-19,oven,electronics,600,49,2,29400
2018-01-19,suncream,comestic,20,23,9,460
2018-01-20,air conditioner,electronics,800,36,4,28800
2018-01-20,air conditioner,electronics,800,14,3,11200
2018-01-20,fridge,electronics,1200,46,7,55200
2018-01-20,microwave,electronics,300,3,6,900
2018-01-20,fragrance,comestic,50,38,2,1900
2018-01-20,smartphone,electronics,500,21,6,10500
2018-01-20,lipstick,comestic,15,33,8,495
2018-01-20,lipstick,comestic,15,37,5,555
2018-01-20,air conditioner,electronics,800,13,4,10400
2018-01-20,suncream,comestic,20,20,6,400
2018-01-21,fragrance,comestic,50,18,1,900
2018-01-21,mascara,comestic,10,17,9,170
2018-01-21,suncream,comestic,20,43,5,860
2018-01-21,face cleanser,comestic,25,22,4,550
2018-01-21,face cleanser,comestic,25,20,7,500
2018-01-21,smartphone,electronics,500,9,7,4500
2018-01-21,air conditioner,electronics,800,45,2,36000
2018-01-21,fragrance,comestic,50,19,3,950
2018-01-21,laptop,electronics,1000,29,4,29000
2018-01-21,mascara,comestic,10,23,1,230
2018-01-22,laptop,electronics,1000,34,3,34000
2018-01-22,microwave,electronics,300,34,7,10200
2018-01-22,face cleanser,comestic,25,10,6,250
2018-01-22,fragrance,comestic,50,31,8,1550
2018-01-22,fridge,electronics,1200,11,4,13200
2018-01-22,face cleanser,comestic,25,20,7,500
2018-01-22,suncream,comestic,20,12,10,240
2018-01-22,smartphone,electronics,500,44,5,22000
2018-01-22,lipstick,comestic,15,27,5,405
2018-01-22,fridge,electronics,1200,28,1,33600
2018-01-23,eye liner,comestic,12,6,10,72
2018-01-23,lipstick,comestic,15,38,8,570
2018-01-23,suncream,comestic,20,32,1,640
2018-01-23,eye liner,comestic,12,44,8,528
2018-01-23,air conditioner,electronics,800,16,1,12800
2018-01-23,face cleanser,comestic,25,49,5,1225
2018-01-23,oven,electronics,600,29,1,17400
2018-01-23,eye liner,comestic,12,14,7,168
2018-01-23,laptop,electronics,1000,37,10,37000
2018-01-23,oven,electronics,600,5,9,3000
2018-01-24,smartphone,electronics,500,33,5,16500
2018-01-24,fridge,electronics,1200,9,3,10800
2018-01-24,eye liner,comestic,12,14,1,168
2018-01-24,lipstick,comestic,15,8,1,120
2018-01-24,microwave,electronics,300,5,10,1500
2018-01-24,mascara,comestic,10,17,9,170
2018-01-24,eye liner,comestic,12,30,6,360
2018-01-24,lipstick,comestic,15,43,3,645
2018-01-24,laptop,electronics,1000,31,3,31000
2018-01-24,oven,electronics,600,31,9,18600
2018-01-25,fridge,electronics,1200,16,10,19200
2018-01-25,fragrance,comestic,50,40,5,2000
2018-01-25,smartphone,electronics,500,48,4,24000
2018-01-25,oven,electronics,600,45,7,27000
2018-01-25,lipstick,comestic,15,1,2,15
2018-01-25,fridge,electronics,1200,3,7,3600
2018-01-25,eye liner,comestic,12,40,3,480
2018-01-25,lipstick,comestic,15,39,6,585
2018-01-25,lipstick,comestic,15,4,2,60
2018-01-25,eye liner,comestic,12,30,2,360
2018-01-26,microwave,electronics,300,48,5,14400
2018-01-26,fridge,electronics,1200,37,8,44400
2018-01-26,mascara,comestic,10,19,7,190
2018-01-26,smartphone,electronics,500,33,3,16500
2018-01-26,fragrance,comestic,50,31,2,1550
2018-01-26,air conditioner,electronics,800,11,2,8800
2018-01-26,lipstick,comestic,15,26,5,390
2018-01-26,eye liner,comestic,12,5,6,60
2018-01-26,mascara,comestic,10,35,7,350
2018-01-26,air conditioner,electronics,800,2,9,1600
2018-01-27,fragrance,comestic,50,1,2,50
2018-01-27,air conditioner,electronics,800,33,10,26400
2018-01-27,fragrance,comestic,50,9,9,450
2018-01-27,fragrance,comestic,50,34,9,1700
2018-01-27,eye liner,comestic,12,36,7,432
2018-01-27,smartphone,electronics,500,36,1,18000
2018-01-27,air conditioner,electronics,800,43,8,34400
2018-01-27,mascara,comestic,10,18,9,180
2018-01-27,lipstick,comestic,15,23,4,345
2018-01-27,fridge,electronics,1200,14,4,16800
2018-01-28,oven,electronics,600,6,8,3600
2018-01-28,eye liner,comestic,12,50,3,600
2018-01-28,microwave,electronics,300,47,1,14100
2018-01-28,oven,electronics,600,40,2,24000
2018-01-28,mascara,comestic,10,5,5,50
2018-01-28,microwave,electronics,300,5,3,1500
2018-01-28,fragrance,comestic,50,17,4,850
2018-01-28,laptop,electronics,1000,34,3,34000
2018-01-28,laptop,electronics,1000,37,6,37000
2018-01-28,mascara,comestic,10,41,4,410
2018-01-29,air conditioner,electronics,800,34,2,27200
2018-01-29,fragrance,comestic,50,38,6,1900
2018-01-29,fridge,electronics,1200,16,8,19200
2018-01-29,face cleanser,comestic,25,15,4,375
2018-01-29,fridge,electronics,1200,33,1,39600
2018-01-29,mascara,comestic,10,2,5,20
2018-01-29,laptop,electronics,1000,3,5,3000
2018-01-29,air conditioner,electronics,800,43,7,34400
2018-01-29,lipstick,comestic,15,29,1,435
2018-01-29,face cleanser,comestic,25,50,8,1250
2018-01-30,suncream,comestic,20,22,7,440
2018-01-30,microwave,electronics,300,17,5,5100
2018-01-30,smartphone,electronics,500,20,7,10000
2018-01-30,microwave,electronics,300,23,4,6900
2018-01-30,mascara,comestic,10,36,10,360
2018-01-30,smartphone,electronics,500,32,1,16000
2018-01-30,laptop,electronics,1000,34,9,34000
2018-01-30,mascara,comestic,10,18,5,180
2018-01-30,microwave,electronics,300,29,9,8700
2018-01-30,air conditioner,electronics,800,40,8,32000
2018-01-31,laptop,electronics,1000,40,1,40000
2018-01-31,oven,electronics,600,19,2,11400
2018-01-31,lipstick,comestic,15,49,7,735
2018-01-31,suncream,comestic,20,17,2,340
2018-01-31,mascara,comestic,10,24,3,240
2018-01-31,fridge,electronics,1200,14,6,16800
2018-01-31,face cleanser,comestic,25,33,3,825
2018-01-31,fragrance,comestic,50,19,5,950
2018-01-31,lipstick,comestic,15,40,6,600
2018-01-31,air conditioner,electronics,800,22,10,17600
2018-02-01,laptop,electronics,1000,6,10,6000
2018-02-01,laptop,electronics,1000,30,9,30000
2018-02-01,microwave,electronics,300,49,7,14700
2018-02-01,mascara,comestic,10,25,4,250
2018-02-01,air conditioner,electronics,800,46,6,36800
2018-02-01,face cleanser,comestic,25,16,1,400
2018-02-01,fridge,electronics,1200,33,4,39600
2018-02-01,lipstick,comestic,15,37,4,555
2018-02-01,lipstick,comestic,15,40,6,600
2018-02-01,microwave,electronics,300,12,9,3600
2018-02-02,smartphone,electronics,500,26,5,13000
2018-02-02,oven,electronics,600,50,8,30000
2018-02-02,fragrance,comestic,50,29,6,1450
2018-02-02,face cleanser,comestic,25,40,8,1000
2018-02-02,smartphone,electronics,500,14,3,7000
2018-02-02,smartphone,electronics,500,10,1,5000
2018-02-02,fragrance,comestic,50,5,3,250
2018-02-02,fragrance,comestic,50,13,8,650
2018-02-02,laptop,electronics,1000,44,3,44000
2018-02-02,lipstick,comestic,15,40,5,600
2018-02-03,mascara,comestic,10,18,9,180
2018-02-03,eye liner,comestic,12,27,8,324
2018-02-03,air conditioner,electronics,800,8,10,6400
2018-02-03,air conditioner,electronics,800,5,4,4000
2018-02-03,suncream,comestic,20,27,5,540
2018-02-03,lipstick,comestic,15,15,9,225
2018-02-03,oven,electronics,600,16,3,9600
2018-02-03,oven,electronics,600,16,4,9600
2018-02-03,eye liner,comestic,12,8,2,96
2018-02-03,fridge,electronics,1200,46,1,55200
2018-02-04,air conditioner,electronics,800,21,5,16800
2018-02-04,air conditioner,electronics,800,36,6,28800
2018-02-04,smartphone,electronics,500,25,10,12500
2018-02-04,smartphone,electronics,500,46,5,23000
2018-02-04,microwave,electronics,300,7,1,2100
2018-02-04,eye liner,comestic,12,19,8,228
2018-02-04,fridge,electronics,1200,16,5,19200
2018-02-04,eye liner,comestic,12,48,2,576
2018-02-04,microwave,electronics,300,9,6,2700
2018-02-04,suncream,comestic,20,7,6,140
2018-02-05,suncream,comestic,20,33,5,660
2018-02-05,eye liner,comestic,12,2,2,24
2018-02-05,fragrance,comestic,50,32,6,1600
2018-02-05,lipstick,comestic,15,22,1,330
2018-02-05,microwave,electronics,300,50,3,15000
2018-02-05,face cleanser,comestic,25,10,8,250
2018-02-05,oven,electronics,600,12,3,7200
2018-02-05,mascara,comestic,10,48,5,480
2018-02-05,lipstick,comestic,15,4,1,60
2018-02-05,oven,electronics,600,45,7,27000
2018-02-06,air conditioner,electronics,800,15,6,12000
2018-02-06,lipstick,comestic,15,32,10,480
2018-02-06,fridge,electronics,1200,4,1,4800
2018-02-06,oven,electronics,600,46,2,27600
2018-02-06,air conditioner,electronics,800,26,7,20800
2018-02-06,suncream,comestic,20,30,10,600
2018-02-06,suncream,comestic,20,20,7,400
2018-02-06,fridge,electronics,1200,43,7,51600
2018-02-06,mascara,comestic,10,34,6,340
2018-02-06,eye liner,comestic,12,50,7,600
2018-02-07,air conditioner,electronics,800,30,10,24000
2018-02-07,fridge,electronics,1200,48,8,57600
2018-02-07,eye liner,comestic,12,6,5,72
2018-02-07,lipstick,comestic,15,16,8,240
2018-02-07,fridge,electronics,1200,42,8,50400
2018-02-07,microwave,electronics,300,50,1,15000
2018-02-07,oven,electronics,600,21,9,12600
2018-02-07,oven,electronics,600,34,6,20400
2018-02-07,mascara,comestic,10,33,9,330
2018-02-07,microwave,electronics,300,11,9,3300
2018-02-08,smartphone,electronics,500,22,4,11000
2018-02-08,mascara,comestic,10,20,1,200
2018-02-08,microwave,electronics,300,47,3,14100
2018-02-08,suncream,comestic,20,30,9,600
2018-02-08,microwave,electronics,300,10,1,3000
2018-02-08,oven,electronics,600,49,10,29400
2018-02-08,fridge,electronics,1200,35,4,42000
2018-02-08,lipstick,comestic,15,14,3,210
2018-02-08,fragrance,comestic,50,12,8,600
2018-02-08,lipstick,comestic,15,7,7,105
2018-02-09,lipstick,comestic,15,44,7,660
2018-02-09,face cleanser,comestic,25,3,9,75
2018-02-09,fridge,electronics,1200,45,3,54000
2018-02-09,face cleanser,comestic,25,28,8,700
2018-02-09,mascara,comestic,10,19,10,190
2018-02-09,air conditioner,electronics,800,22,6,17600
2018-02-09,suncream,comestic,20,49,9,980
2018-02-09,laptop,electronics,1000,17,10,17000
2018-02-09,smartphone,electronics,500,18,5,9000
2018-02-09,lipstick,comestic,15,11,9,165
2018-02-10,fridge,electronics,1200,17,6,20400
2018-02-10,smartphone,electronics,500,8,1,4000
2018-02-10,suncream,comestic,20,4,4,80
2018-02-10,laptop,electronics,1000,46,9,46000
2018-02-10,oven,electronics,600,14,9,8400
2018-02-10,laptop,electronics,1000,5,4,5000
2018-02-10,laptop,electronics,1000,22,9,22000
2018-02-10,fridge,electronics,1200,45,5,54000
2018-02-10,microwave,electronics,300,20,10,6000
2018-02-10,air conditioner,electronics,800,4,10,3200
2018-02-11,smartphone,electronics,500,37,2,18500
2018-02-11,microwave,electronics,300,16,10,4800
2018-02-11,mascara,comestic,10,50,10,500
2018-02-11,fridge,electronics,1200,29,4,34800
2018-02-11,smartphone,electronics,500,28,5,14000
2018-02-11,microwave,electronics,300,10,9,3000
2018-02-11,fragrance,comestic,50,6,7,300
2018-02-11,lipstick,comestic,15,48,10,720
2018-02-11,smartphone,electronics,500,44,1,22000
2018-02-11,suncream,comestic,20,22,1,440
2018-02-12,air conditioner,electronics,800,18,3,14400
2018-02-12,oven,electronics,600,39,1,23400
2018-02-12,lipstick,comestic,15,6,8,90
2018-02-12,mascara,comestic,10,15,3,150
2018-02-12,suncream,comestic,20,21,3,420
2018-02-12,air conditioner,electronics,800,29,4,23200
2018-02-12,fragrance,comestic,50,23,5,1150
2018-02-12,fridge,electronics,1200,34,7,40800
2018-02-12,fridge,electronics,1200,43,5,51600
2018-02-12,smartphone,electronics,500,9,3,4500
2018-02-13,suncream,comestic,20,20,1,400
2018-02-13,eye liner,comestic,12,6,2,72
2018-02-13,smartphone,electronics,500,46,4,23000
2018-02-13,face cleanser,comestic,25,23,4,575
2018-02-13,eye liner,comestic,12,15,6,180
2018-02-13,fridge,electronics,1200,22,1,26400
2018-02-13,smartphone,electronics,500,23,6,11500
2018-02-13,smartphone,electronics,500,46,1,23000
2018-02-13,air conditioner,electronics,800,12,6,9600
2018-02-13,fragrance,comestic,50,22,4,1100
2018-02-14,fridge,electronics,1200,33,7,39600
2018-02-14,air conditioner,electronics,800,29,7,23200
2018-02-14,fridge,electronics,1200,22,7,26400
2018-02-14,suncream,comestic,20,19,10,380
2018-02-14,mascara,comestic,10,34,3,340
2018-02-14,suncream,comestic,20,50,7,1000
2018-02-14,lipstick,comestic,15,48,8,720
2018-02-14,oven,electronics,600,7,8,4200
2018-02-14,smartphone,electronics,500,18,1,9000
2018-02-14,microwave,electronics,300,10,4,3000
2018-02-15,eye liner,comestic,12,28,8,336
2018-02-15,smartphone,electronics,500,16,1,8000
2018-02-15,fragrance,comestic,50,7,5,350
2018-02-15,eye liner,comestic,12,12,4,144
2018-02-15,air conditioner,electronics,800,39,1,31200
2018-02-15,fridge,electronics,1200,33,8,39600
2018-02-15,suncream,comestic,20,3,3,60
2018-02-15,smartphone,electronics,500,39,9,19500
2018-02-15,microwave,electronics,300,9,5,2700
2018-02-15,smartphone,electronics,500,31,4,15500
2018-02-16,fragrance,comestic,50,34,3,1700
2018-02-16,microwave,electronics,300,1,6,300
2018-02-16,oven,electronics,600,34,3,20400
2018-02-16,air conditioner,electronics,800,22,2,17600
2018-02-16,fragrance,comestic,50,38,6,1900
2018-02-16,microwave,electronics,300,28,1,8400
2018-02-16,microwave,electronics,300,47,7,14100
2018-02-16,suncream,comestic,20,37,3,740
2018-02-16,lipstick,comestic,15,31,8,465
2018-02-16,microwave,electronics,300,26,4,7800
2018-02-17,smartphone,electronics,500,38,8,19000
2018-02-17,fridge,electronics,1200,40,9,48000
2018-02-17,microwave,electronics,300,40,1,12000
2018-02-17,microwave,electronics,300,49,9,14700
2018-02-17,oven,electronics,600,9,8,5400
2018-02-17,lipstick,comestic,15,17,9,255
2018-02-17,smartphone,electronics,500,39,8,19500
2018-02-17,laptop,electronics,1000,24,5,24000
2018-02-17,mascara,comestic,10,1,10,10
2018-02-17,microwave,electronics,300,44,7,13200
2018-02-18,suncream,comestic,20,44,7,880
2018-02-18,eye liner,comestic,12,23,9,276
2018-02-18,mascara,comestic,10,15,2,150
2018-02-18,smartphone,electronics,500,39,10,19500
2018-02-18,suncream,comestic,20,35,5,700
2018-02-18,oven,electronics,600,32,10,19200
2018-02-18,fragrance,comestic,50,5,2,250
2018-02-18,suncream,comestic,20,11,7,220
2018-02-18,fridge,electronics,1200,37,9,44400
2018-02-18,air conditioner,electronics,800,43,7,34400
2018-02-19,laptop,electronics,1000,11,10,11000
2018-02-19,eye liner,comestic,12,19,7,228
2018-02-19,fridge,electronics,1200,38,10,45600
2018-02-19,smartphone,electronics,500,18,7,9000
2018-02-19,eye liner,comestic,12,36,9,432
2018-02-19,mascara,comestic,10,27,2,270
2018-02-19,smartphone,electronics,500,17,2,8500
2018-02-19,mascara,comestic,10,21,2,210
2018-02-19,suncream,comestic,20,16,9,320
2018-02-19,laptop,electronics,1000,31,4,31000
2018-02-20,microwave,electronics,300,36,4,10800
2018-02-20,fridge,electronics,1200,7,2,8400
2018-02-20,microwave,electronics,300,45,10,13500
2018-02-20,microwave,electronics,300,25,5,7500
2018-02-20,mascara,comestic,10,4,3,40
2018-02-20,suncream,comestic,20,29,6,580
2018-02-20,mascara,comestic,10,33,10,330
2018-02-20,fragrance,comestic,50,29,9,1450
2018-02-20,smartphone,electronics,500,45,3,22500
2018-02-20,fragrance,comestic,50,35,2,1750
2018-02-21,mascara,comestic,10,31,6,310
2018-02-21,mascara,comestic,10,10,6,100
2018-02-21,lipstick,comestic,15,16,8,240
2018-02-21,microwave,electronics,300,9,6,2700
2018-02-21,fridge,electronics,1200,22,2,26400
2018-02-21,mascara,comestic,10,16,3,160
2018-02-21,lipstick,comestic,15,25,3,375
2018-02-21,suncream,comestic,20,3,3,60
2018-02-21,laptop,electronics,1000,8,8,8000
2018-02-21,eye liner,comestic,12,35,8,420
2018-02-22,suncream,comestic,20,22,9,440
2018-02-22,suncream,comestic,20,13,4,260
2018-02-22,oven,electronics,600,34,5,20400
2018-02-22,smartphone,electronics,500,15,9,7500
2018-02-22,suncream,comestic,20,28,1,560
2018-02-22,mascara,comestic,10,37,9,370
2018-02-22,smartphone,electronics,500,33,7,16500
2018-02-22,fridge,electronics,1200,22,7,26400
2018-02-22,microwave,electronics,300,11,4,3300
2018-02-22,fridge,electronics,1200,4,2,4800
2018-02-23,lipstick,comestic,15,45,3,675
2018-02-23,smartphone,electronics,500,13,8,6500
2018-02-23,smartphone,electronics,500,19,5,9500
2018-02-23,suncream,comestic,20,24,6,480
2018-02-23,oven,electronics,600,8,10,4800
2018-02-23,suncream,comestic,20,19,6,380
2018-02-23,fridge,electronics,1200,4,1,4800
2018-02-23,lipstick,comestic,15,26,2,390
2018-02-23,lipstick,comestic,15,19,6,285
2018-02-23,fridge,electronics,1200,12,6,14400
2018-02-24,fragrance,comestic,50,37,5,1850
2018-02-24,mascara,comestic,10,8,7,80
2018-02-24,face cleanser,comestic,25,46,10,1150
2018-02-24,smartphone,electronics,500,26,1,13000
2018-02-24,lipstick,comestic,15,8,5,120
2018-02-24,eye liner,comestic,12,3,4,36
2018-02-24,lipstick,comestic,15,40,6,600
2018-02-24,mascara,comestic,10,4,2,40
2018-02-24,suncream,comestic,20,24,2,480
2018-02-24,lipstick,comestic,15,39,2,585
2018-02-25,laptop,electronics,1000,14,6,14000
2018-02-25,fridge,electronics,1200,17,8,20400
2018-02-25,air conditioner,electronics,800,14,3,11200
2018-02-25,suncream,comestic,20,50,6,1000
2018-02-25,suncream,comestic,20,33,6,660
2018-02-25,smartphone,electronics,500,34,2,17000
2018-02-25,smartphone,electronics,500,41,7,20500
2018-02-25,fragrance,comestic,50,33,5,1650
2018-02-25,air conditioner,electronics,800,34,10,27200
2018-02-25,oven,electronics,600,38,10,22800
2018-02-26,microwave,electronics,300,31,8,9300
2018-02-26,air conditioner,electronics,800,5,7,4000
2018-02-26,face cleanser,comestic,25,4,3,100
2018-02-26,oven,electronics,600,10,10,6000
2018-02-26,air conditioner,electronics,800,26,4,20800
2018-02-26,lipstick,comestic,15,9,7,135
2018-02-26,face cleanser,comestic,25,44,4,1100
2018-02-26,oven,electronics,600,28,7,16800
2018-02-26,fridge,electronics,1200,8,3,9600
2018-02-26,fragrance,comestic,50,5,3,250
2018-02-27,fridge,electronics,1200,21,5,25200
2018-02-27,air conditioner,electronics,800,8,8,6400
2018-02-27,oven,electronics,600,25,10,15000
2018-02-27,fragrance,comestic,50,12,6,600
2018-02-27,suncream,comestic,20,29,6,580
